SubOutputID;Code;ShortName;BusinessKey;OutputID;LongName;TextDescription
1;SO1.1.1;Reduce number of young children in poverty;SO1.1.1;OP1.1;Reduce number of young children in poverty;Reduce number of young children in poverty
2;SO1.2.1;Increase community projects to Stimulate jobs;SO1.2.1;OP1.2;Increase community projects to Stimulate jobs;Increase community projects to Stimulate jobs
3;SO1.2.2;promote Community Outreach programs to teach life & work skills;SO1.2.2;OP1.2;promote Community Outreach programms to teach life & work skills;promote Community Outreach programms to teach life & work skills
4;SO1.2.3;promote Community Outreach programms to teach life skills to the youth;SO1.2.3;OP1.2;promote Community Outreach programms to teach life skills to the youth;promote Community Outreach programms to teach life skills to the youth
5;SO1.3.1;Increase Community projects to Teach basic farming techniques;SO1.3.1;OP1.3;Increase Community projects to Teach basic farming techniques;Increase Community projects to Teach basic farming techniques
6;SO1.3.2;Easily accessible food service for the elderly;SO1.3.2;OP1.3;Easily accessible food service for the elderly;Easily accessible food service for the elderly
7;SO1.4.1;Provide greater access to safe drinking water;SO1.4.1;OP1.4;Provide greater access to safe drinking water;Provide greater access to safe drinking water
8;SO1.3.3;Implement feeding schemes that also provide information on basic farming;SO1.3.3;OP1.3;Implement feeding schemes that also provide information on basic farming;Implement feeding schemes that also provide information on basic farming
9;SO2.1.1;Increase the ratio of schools to the number of children ;SO2.1.1;OP2.1;Increase the ratio of schools to the number of children ;Increase the ratio of schools to the number of children 
10;SO2.2.1;Provide additional training for teachers  on literacy, math & science;SO2.2.1;OP2.2;Provide addittional training for teachers  on literacy, math & science;Provide addittional training for teachers  on literacy, math & science
11;SO2.3.1;Provide additional training for school management on how to run the school;SO2.3.1;OP2.3;Provide additional training for school management on how to run the school;Provide additional training for school management on how to run the school
12;SO3.1.1;Increase Programs to discourage gender discrimination;SO3.1.1;OP3.1;Increase Programs to discourage gender discrimination;Increase Programs to discourage gender discrimination
13;SO3.2.1;Increase the number of leadership role opportunities and Internships;SO3.2.1;OP3.2;Increase the number of leadership role opportunities and Internships;Increase the number of leadership role opportunities and Internships
14;SO4.1.1;Increase frequency of Mobile Clinics visits to outlying areas;SO4.1.1;OP4.1;Increase frequency of Mobile Clinics visits to outlying areas;Increase frequency of Mobile Clinics visits to outlying areas
15;SO4.2.1;Attract more International funding for immunisation drives;SO4.2.1;OP4.2;Attract more International funding for immunisation drives;Attract more International funding for immunisation drives
16;SO4.2.2;More immunistaion drives;SO4.2.2;OP4.2;More immunistaion drives;More immunistaion drives
17;SO5.1.1;Education of pregnant mothers on post birth care ;SO5.1.1;OP5.1;Education of pregnant mothers on post birth care ;Education of pregnant mothers on post birth care 
18;SO5.1.2;Increase Education programs for expecting mothers ;SO5.1.2;OP5.1;Increase Education programs for expecting mothers ;Increase Education programs for expecting mothers 
